,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
1533,Race and Racism- Lean Left,106,1,Senators Call for Federal Investigation Into Liberty University’s Handling of Sexual Assaults. School Promises Independent Probe.,ProPublica, Lean Left,"Citing possible violations of federal law, three senators, including the two from Virginia, are pressing the U.S. Department of Education to investigate...",22,cite possible violation federal law senator include virginia press u.s. department education investigate ...,1
1534,Race and Racism- Lean Right,106,4,Andrew Cuomo charged over alleged groping of former aide: source,New York Post (News), Lean Right,Disgraced ex-Gov. Andrew Cuomo was charged Thursday with groping a former aide in Albany’s Executive Mansion — a crime that could force him to register as...,26,disgrace ex gov. andrew cuomo charge thursday grope aide albany executive mansion — crime force register ...,1
1535,Race and Racism - moderate,106,3,Andrew Cuomo Facing Criminal Sexual Misconduct Complaint,AllSides Headline Roundup,moderate,"A misdemeanor sex crime complaint has been filed in Albany City Court against former New York Gov. Andrew Cuomo, state courts spokesman Lucian Chalfen said...",25,misdemeanor sex crime complaint file albany city court new york gov. andrew cuomo state court spokesman lucian chalfen ...,1
1536,Race and Racism- Lean Left,106,1,Transcript of Cuomo investigation interviews released,ABC News (Online), Lean Left,"Former New York Gov. Andrew Cuomo said in an interview over the summer he ""wouldn’t be surprised"" if somebody who worked for him at some point sat on...",28,new york gov. andrew cuomo interview summer surprised somebody work point sit ...,1
1537,Race and Racism- Right,106,5,Dozens of Loudoun County students stage walkout over sexual assault by boy in girls' bathroom,Fox News (Online News), Right,"Students in Loudoun County, Virginia, staged a walkout in protest of recent sexual assault cases at the public school system and to show...",23,student loudoun county virginia stage walkout protest recent sexual assault case public school system ...,1
1538,Race and Racism - moderate,106,3,Loudoun County students walk out in solidarity with victim of alleged sexual assault,The Hill,moderate,"Students walked out of classes at schools across Loudoun County, Va., on Tuesday in solidarity with victims of sexual assault in response to two...",24,student walk class school loudoun county va. tuesday solidarity victim sexual assault response ...,1
1539,Race and Racism- Lean Left,106,1,"USC says there was ""troubling delay"" in acting on fraternity sexual assault reports",CBS News (Online), Lean Left,"The University of Southern California on Friday said there was a ""troubling delay"" in alerting the campus community about allegations of drugging and...",23,university southern california friday troubling delay alert campus community allegation drug ...,1
1540,Race and Racism- Right,106,5,Loudoun County Dad Smeared As ‘Domestic Terrorist’ Says School Covered Up Daughter’s Rape By Boy In Girls’ Bathroom,The Federalist, Right,A Loudoun County father smeared as a domestic terrorist by a leftist school board association says his school district covered up his daughter’s rape by a “...,27,loudoun county father smear domestic terrorist leftist school board association school district cover daughter rape ...,1
1541,Race and Racism - moderate,106,3,Virginia Students Stage Walkout to Protest District's Handling of Sexual Assault,AllSides Headline Roundup,moderate,"Students at schools across Loudoun County, Virginia walked out of classes Tuesday in support of sexual assault victims, following two recent incidents at...",23,student school loudoun county virginia walk class tuesday support sexual assault victim follow recent incident ...,1
1542,Race and Racism- Lean Left,106,1,Sexual Misconduct Complaint Is Filed Against Andrew Cuomo,New York Times (News), Lean Left,"A criminal complaint accusing former Gov. Andrew M. Cuomo of forcible touching has been filed in Albany City Court, a spokesman for New York State’s court...",26,criminal complaint accuse gov. andrew m. cuomo forcible touching file albany city court spokesman new york state court ...,1
1543,Race and Racism- Lean Right,106,4,'End this nightmare!': Loudoun County parents demand resignation of superintendent over sexual assault claims,Washington Examiner, Lean Right,"Dozens of parents, students, and others are demanding the resignation of a Loudoun County superintendent following outrage over claims of sexual assault....",22,dozen parent student demand resignation loudoun county superintendent follow outrage claim sexual assault ....,1
1544,Race and Racism - moderate,106,3,DOJ reviewing decision not to charge FBI agents in Nassar investigation,Axios,moderate,The Justice Department said Tuesday it is reviewing a previous decision not to charge FBI agents accused of mishandling the investigation into disgraced former...,24,justice department tuesday review previous decision charge fbi agent accuse mishandle investigation disgrace ...,1
1545,Race and Racism- Lean Left,106,1,Loudoun County students walk out to protest school district’s handling of alleged sexual assaults,Washington Post, Lean Left,Students at several Loudoun County Public Schools held 10-minute walkouts Tuesday morning to demand the county protect students from sexual assault and to...,23,student loudoun county public schools hold 10 minute walkout tuesday morning demand county protect student sexual assault ...,1
1546,Religion and Faith- Right,107,5,GOP Reps Call on Top Biden Admin Officials To Testify on Bungled Afghanistan Withdrawal,Washington Free Beacon, Right,A coalition of Republican foreign policy leaders in Congress is demanding that senior Biden administration officials appear on Capitol Hill to be questioned...,23,coalition republican foreign policy leader congress demand senior biden administration official appear capitol hill question ...,1
1547,Religion and Faith - moderate,107,3,Donors’ dilemma: How to help hungry Afghans ... not the Taliban,Christian Science Monitor,moderate,"There is no shortage of urgent warnings, led by the United Nations, about the looming threats this winter to the Afghan people: food insecurity for more than...",27,shortage urgent warning lead united nations loom threat winter afghan people food insecurity ...,1
1548,Religion and Faith- Lean Left,107,1,"Bombing outside Kabul’s main mosque leaves at least 2 dead, Taliban says",Washington Post, Lean Left,"A bombing outside Kabul’s main mosque killed at least two Afghan civilians and left others wounded, the Taliban says.

The explosion, at Eid Gah Mosque, is...",26,bombing outside kabul main mosque kill afghan civilian leave wound taliban explosion eid gah mosque ...,1
1549,Religion and Faith- Right,107,5,GOP Lawmakers Concerned Biden Removed Sanctions To Appease Iran,Washington Free Beacon, Right,A group of 33 Republican lawmakers launched an investigation on Thursday into the Biden administration’s decision to remove sanctions earlier this month...,22,group 33 republican lawmaker launch investigation thursday biden administration decision remove sanction early month ...,1
1550,Religion and Faith - moderate,107,3,Iran nuclear deal: Talks to resume within weeks,BBC News,moderate,"Talks aimed at reviving the landmark 2015 nuclear deal between Iran and six other nations are to resume this month.

Iran's chief negotiator Ali Baqeri Kani...",26,talk aim revive landmark 2015 nuclear deal iran nation resume month iran chief negotiator ali baqeri kani ...,1
1551,Religion and Faith- Lean Left,107,1,Defense officials just debunked much of the criticism of Biden’s Afghanistan withdrawal,Jennifer Rubin, Lean Left,Testimony from Defense Secretary Lloyd Austin and Chairman of the Joint Chiefs of Staff Gen. Mark A. Milley before the Senate Armed...,22,testimony defense secretary lloyd austin chairman joint chiefs staff gen. mark a. milley senate armed ...,1
1552,Religion and Faith- Right,107,5,Bomb attack on Kabul mosque 'kills 10 and injures more than 30': Memorial service for mother of Taliban's chief spokesman 'is targeted by ISIS militants' in Afghanistan capital,Daily Mail, Right,"A bomb which targeted the entrance of a mosque in the Afghan capital of Kabul on Sunday has left a 'number of civilians dead', according to a Taliban...",28,bomb target entrance mosque afghan capital kabul sunday leave number civilian dead accord taliban ...,1
1553,Religion and Faith - moderate,107,3,Watchdog finds no misconduct in mistaken Afghan airstrike,Associated Press,moderate,An independent Pentagon review has concluded that the U.S. drone strike that killed innocent Kabul civilians and children in the final days of the Afghanistan...,25,independent pentagon review conclude u.s. drone strike kill innocent kabul civilian child final day afghanistan ...,1
1554,Religion and Faith- Lean Left,107,1,"Live updates: Milley, Austin and McKenzie to testify before Congress on Afghanistan, China",USA TODAY, Lean Left, The nation's top military leaders will face lawmakers on Capitol Hill on Tuesday in a hearing expected to touch on some of the most contentious...,25,nation military leader face lawmaker capitol hill tuesday hearing expect touch contentious ...,1
1555,Religion and Faith- Lean Right,107,4,The Generals Contradict Biden on Afghanistan,Wall Street Journal (Opinion), Lean Right,"President Biden hopes the political fallout from his botched Afghanistan withdrawal will fade quickly, but Tuesday’s Senate hearing with the secretary of...",22,president biden hope political fallout botch afghanistan withdrawal fade quickly tuesday senate hearing secretary ...,0
1556,Religion and Faith - moderate,107,3,"U.S. airstrike kills senior al-Qaeda leader in Syria, DOD says",Axios,moderate,"A U.S. airstrike in northwest Syria on Friday killed senior al-Qaeda leader Abdul Hamid al-Matar, U.S. Central Command said in a statement.

Why it...",24,u.s. airstrike northwest syria friday kill senior al qaeda leader abdul hamid al matar u.s. central command statement ...,1
1557,Religion and Faith- Lean Left,107,1,Biden’s misleading announcement that the United States is no longer at war,PolitiFact, Lean Left,"During a speech at the United Nations on Sept. 21, President Joe Biden referenced the end of the Afghanistan War, claiming that the United States had finally...",27,speech united nations sept. 21 president joe biden reference end afghanistan war claim united states finally ...,0
1558,Religion and Faith- Lean Right,107,4,Gen. Milley defends calls to Chinese: ‘I was certain’ Trump wouldn’t order attack,Washington Times, Lean Right,"America’s top general on Tuesday vehemently defended his Jan. 8 phone call with Chinese military leaders, telling lawmakers that he was “certain” then-...",23,america general tuesday vehemently defend jan. 8 phone chinese military leader tell lawmaker certain then- ...,1
1559,Religion and Faith - moderate,107,3,‘Why did we fight?’ Challenge of governing is wearing down Taliban.,Christian Science Monitor,moderate,"The veteran Taliban fighter once strove for martyrdom on the Afghan battlefield of what he considered an Islamic revolution.

But the Taliban insurgency’s...",23,veteran taliban fighter strove martyrdom afghan battlefield consider islamic revolution taliban insurgency ...,1
1560,Religion and Faith- Left,107,2,The US military needs to do more than apologize for its deadly 'mistake' in Kabul,CNN (Opinion), Left,"On August 29, a US drone strike killed 10 members of one family in Kabul. That same day, the Pentagon announced that the operation successfully...",25,august 29 drone strike kill 10 member family kabul day pentagon announce operation successfully ...,1
1561,Republican Party- Lean Right,108,4,Sen. Cotton: My Bill Will Crack Down on Big Tech,Newsmax (News), Lean Right,"Sen. Tom Cotton says it's time to revive competition and sharply limit further consolidations by Big Tech.

The Arkansas Republican made his...",22,sen. tom cotton time revive competition sharply limit consolidation big tech arkansas republican ...,1
1562,Republican Party - moderate,108,3,Senate GOP worries Trump could derail bid for majority,The Hill,moderate,GOP senators are worried that former President Trump could thwart their hopes of winning back the Senate majority next year with...,21,gop senator worried president trump thwart hope win senate majority year ...,1
1563,Republican Party- Lean Left,108,1,"Vermont Senator Patrick Leahy, the Senate's longest-serving member, to retire",CBS News (Online), Lean Left,"Democratic Senator Patrick Leahy of Vermont, the longest-serving active member of the Senate, will not seek reelection in 2022, he announced Monday.

Leahy,...",23,democratic senator patrick leahy vermont long serve active member senate seek reelection 2022 announce monday leahy ...,1
1564,Republican Party- Right,108,5,GOP Senators Call Out Biden Nominee’s Rant About Bankrupting Fossil Fuel Industries,The Daily Caller, Right,Republican senators representing some of the U.S.’s leading carbon energy-producing states are speaking out against Comptroller of the Currency nominee Saule...,21,republican senator represent u.s. lead carbon energy produce state speak comptroller currency nominee saule ...,1
1565,Republican Party - moderate,108,3,U.S. Senate bill would limit big tech mergers,Reuters,moderate,"Two U.S. senators have introduced bipartisan legislation that seeks to make it harder for Amazon.com and other tech giants to make acquisitions.

The office...",24,u.s. senator introduce bipartisan legislation seek hard amazon.com tech giant acquisition office ...,1
1566,Republican Party- Lean Left,108,1,Republicans Block a Second Voting Rights Bill in the Senate,New York Times (News), Lean Left,"Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second...",24,senate republicans wednesday block legislation restore landmark voting rights act weaken supreme court ruling second ...,1
1567,Republican Party- Lean Right,108,4,Senate GOP blocks federal election law debate for fourth time this year,New York Post (News), Lean Right,"Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two...",25,senate democrats try fail wednesday begin debate bill radically revamp america election law ...,1
1568,Republican Party - moderate,108,3,U.S. Senate Democrats fail in latest bid to debate voting rights bill,Reuters,moderate,"U.S. Senate Democrats on Wednesday failed to advance voting-rights legislation for the fourth time this year due to overwhelming Republican opposition, raising...",22,u.s. senate democrats wednesday fail advance voting right legislation fourth time year overwhelming republican opposition raise ...,1
1569,Republican Party- Lean Left,108,1,"Manchin Raises Doubts on Safety Net Bill, Complicating Path to Quick Vote",New York Times (News), Lean Left,Senator Joe Manchin III of West Virginia raised new doubts on Monday about an emerging compromise on a $1.85 trillion climate change and social safety net bill...,27,senator joe manchin iii west virginia raise new doubt monday emerge compromise 1.85 trillion climate change social safety net bill ...,1
1570,Republican Party- Right,108,5,"Manchin Is Still No on Reconciliation: ‘What I See Are Shell Games, Budget Gimmicks’",CNSNews.com, Right,"It's time to pass the bipartisan infrastructure bill and ""quit playing games,"" Sen. Joe Manchin (D-W.Va.) told a news conference on Monday.

The senator --...",25,time pass bipartisan infrastructure bill quit playing game sen. joe manchin d w.va tell news conference monday senator -- ...,1
1571,Republican Party - moderate,108,3,Senate Republicans Block John Lewis Voting Rights Act Proposed By Democrats,AllSides Headline Roundup,moderate,"Senate Republicans on Wednesday voted to block debate on the John Lewis Voting Rights Advancement Act, which fell nine votes short (51-49) of the 60 required...",26,senate republicans wednesday vote block debate john lewis voting rights advancement act fall vote short 51 49 60 require ...,1
1572,Republican Party- Lean Left,108,1,How Republicans used Senate delays to make changes at U.S. product safety regulator. Critics call it a ‘power grab’ that puts public at risk.,Washington Post, Lean Left,A short-lived Republican majority atop the nation’s product safety regulator — the result of Senate delays in confirming Democratic nominees — recently pushed...,23,short live republican majority atop nation product safety regulator — result senate delay confirm democratic nominee — recently push ...,1
1573,Republican Party- Lean Right,108,4,"Senate Republicans block Freedom to Vote Act, Democrats’ latest election overhaul bill",Washington Examiner, Lean Right,"Senate Republicans on Wednesday blocked the advancement of the Freedom to Vote Act, one of three major voting bills brought forward by Democrats in Congress...",25,senate republicans wednesday block advancement freedom vote act major voting bill bring forward democrats congress ...,1
1574,Republican Party - moderate,108,3,Sanders faces difficult choice on slimmed-down budget bill,The Hill,moderate,Sen. Bernie Sanders (I-Vt.) is facing a gut-wrenching decision about whether to sign off on a whittled-down budget reconciliation package that is...,22,sen. bernie sanders vt face gut wrench decision sign whittle budget reconciliation package ...,1
1575,Republican Party- Left,108,2,How screwed are Democrats in the Senate?,Vox, Left,"Democrats are terrified of what the future holds for them in the United States Senate.

The party currently controls half the seats in the chamber, giving...",26,democrats terrify future hold united states senate party currently control half seat chamber ...,1
1576,Role of Government- Lean Right,109,4,"Biden's spending plan could cost nearly $5T if made permanent, analysis shows",Fox Business, Lean Right,President Biden has unveiled a framework for a modified social spending plan that imagines spending close to $1.75 trillion over the next...,22,president biden unveil framework modified social spending plan imagine spending close 1.75 trillion ...,0
1577,Role of Government - moderate,109,3,South Carolina Republican Introduces Bill to Federally Decriminalize Marijuana,AllSides Headline Roundup,moderate,"On Monday, Rep. Nancy Mace (R-S.C.) introduced a bill that would federally decriminalize marijuana. The proposal, titled the States Reform Act, would remove...",23,monday rep. nancy mace r s.c. introduce bill federally decriminalize marijuana proposal title states reform act remove ...,1
1578,Role of Government- Lean Left,109,1,How These Ultrawealthy Politicians Avoided Paying Taxes,ProPublica, Lean Left,"As a member of Congress, Jared Polis was one of the loudest Democrats demanding President Donald Trump release his tax returns.

At a rally in Denver in 2017...",28,member congress jared polis loud democrats demand president donald trump release tax return rally denver 2017 ...,1
1579,Role of Government- Lean Right,109,4,"Biden plan to hire 80K IRS agents will backfire, letting wealthy dodge taxes, expert warns",Washington Times, Lean Right,"President Biden’s proposed tax hikes and plan to hire more than 80,000 additional Internal Revenue Service agents could wind up helping the super-...",23,"president biden propose tax hike plan hire 80,000 additional internal revenue service agent wind help super- ...",1
1580,Role of Government - moderate,109,3,Tariffs to Tackle Climate Change Gain Momentum. The Idea Could Reshape Industries.,Wall Street Journal (News),moderate,"Governments in the U.S., Europe and other developed nations are embarking on a climate change experiment: using tariffs on trade to cut carbon...",23,government u.s. europe developed nation embark climate change experiment use tariff trade cut carbon ...,1
1581,Role of Government- Lean Left,109,1,"House could vote this week on revised social spending plan that includes paid leave, SALT provisions",CBS News (Online), Lean Left,"House Democrats could vote this week on a new version of President Biden's social spending plan, the Build Back Better bill ""this week,"" according to House...",26,house democrats vote week new version president biden social spending plan build better bill week accord house ...,0
1582,Role of Government- Right,109,5,IRS Adjusts Tax Brackets As Inflation Hits 30-Year High,The Daily Wire, Right,The Internal Revenue Service revealed that it would adjust federal income tax brackets and deductions in light of rising price levels in the United States....,25,internal revenue service reveal adjust federal income tax bracket deduction light rise price level united states ....,1
1583,Role of Government - moderate,109,3,Framework’s climate elements may keep emissions goals in reach,Roll Call,moderate,The climate and low-carbon energy elements in President Joe Biden’s $1.75 trillion budget reconciliation framework would likely fall short of what is...,22,climate low carbon energy element president joe biden 1.75 trillion budget reconciliation framework likely fall short ...,0
1584,Role of Government- Lean Left,109,1,Biden's Build Back Better bill: What made it in and what was stripped out,NBC News (Online), Lean Left,"The Build Back Better framework unveiled by the White House on Thursday revises key climate change proposals, keeps funding for universal pre-...",22,build better framework unveil white house thursday revise key climate change proposal funding universal pre- ...,1
1585,Role of Government- Right,109,5,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:...",23,claim democrat rep. cindy axne d ia claim week president joe biden build better agenda cost iowans literally verdict ...,0
1586,Role of Government - moderate,109,3,Democrats Release Text of Biden's Build Back Better Bill,AllSides Headline Roundup,moderate,"Democratic lawmakers unveiled the text of a 1684-page, $1.75 trillion spending package Thursday, hours after meeting privately with President Joe Biden to...",22,democratic lawmaker unveil text 1684 page 1.75 trillion spend package thursday hour meet privately president joe biden ...,0
1587,Role of Government- Left,109,2,We Need to Tax the Billionaires Right Now,Common Dreams, Left,"Just over the past week, a billionaire wealth tax proposal has suddenly moved from the edge to the very center of the negotiating table for President Biden’s...",27,past week billionaire wealth tax proposal suddenly edge center negotiating table president biden ...,0
1588,Role of Government- Right,109,5,Democrats release text of massive social spending bill,Fox News (Online News), Right,"Democrats have released the text of their massive social spending bill, outlining many of the priorities of President Biden's ""Build Back Better"" plan.

The...",24,democrats release text massive social spending bill outline priority president biden build plan ...,0
1589,Role of Government - moderate,109,3,What's in and what's out of the Biden framework,The Hill,moderate,President Biden is pitching a $1.75 trillion social spending and climate plan to Democrats that has been heavily slimmed down after concessions to...,23,president biden pitch 1.75 trillion social spending climate plan democrats heavily slimme concession ...,0
1590,Role of Government- Lean Left,109,1,Sinema’s Tax-Rate Blockade Prods Democrats Left Toward Billionaires’ Tax,New York Times (News), Lean Left,"Senator Kyrsten Sinema, Democrat of Arizona and one of her party’s only holdouts on President Biden’s sprawling budget bill, has cultivated a profile in...",24,senator kyrsten sinema democrat arizona party holdout president biden sprawl budget bill cultivate profile ...,0
1591,Russia- Right,110,5,"Steele dossier key player gave thousands to Hillary, Dems",Fox News (Online News), Right,"A key player in the debunked Steele dossier gave thousands of dollars to former Secretary of State Hillary Clinton and other Democrats,...",22,key player debunk steele dossier thousand dollar secretary state hillary clinton democrats ...,1
1592,Russia - moderate,110,3,"NRA Accused of Illegally Funneling $35 Million To Gun Rights Candidates, Including Trump",Newsweek,moderate,"Anew lawsuit alleges the National Rifle Association (NRA) broke federal campaign finance laws by making as much as $35 million in illegal contributions.

The...",24,anew lawsuit allege national rifle association nra break federal campaign finance law 35 million illegal contribution ...,1
1593,Russia- Left,110,2,GOP Rep. Jeff Fortenberry indicted,CNN (Online News), Left,"Republican Rep. Jeff Fortenberry of Nebraska has been indicted, according to the US Attorney's Office for the Central District of California.

The office's...",23,republican rep. jeff fortenberry nebraska indict accord attorney office central district california office ...,1
1594,Russia- Right,110,5,"Walker off to fast start, hauling in $3.7M since launching Senate bid",Fox News (Online News), Right,Republican Senate candidate Herschel Walker has sprinted out of the blocks when it comes to fundraising for his Senate campaign to try and...,23,republican senate candidate herschel walker sprint block come fundraise senate campaign try ...,1
1595,Russia - moderate,110,3,Giuliani associate Lev Parnas convicted of campaign finance crimes,Axios,moderate,"Florida businessman Lev Parnas was convicted Friday on charges of conspiracy to make foreign contributions to political campaigns, according to multiple...",21,florida businessman lev parnas convict friday charge conspiracy foreign contribution political campaign accord multiple ...,1
1596,Russia- Lean Left,110,1,"Top Republicans rub shoulders with extremists in secretive rightwing group, leak reveals",The Guardian, Lean Left,"Wealthy entrepreneurs and media moguls also named on membership list for influential Council for National Policy

A leaked document has revealed the...",22,wealthy entrepreneur medium mogul membership list influential council national policy leak document reveal ...,1
1597,Russia- Lean Right,110,4,Koch-aligned leaders oppose banning critical race theory,Washington Examiner, Lean Right,"Leaders affiliated with Koch Industries, famous for backing conservative political candidates, decided not to support a government ban on critical race theory...",22,leader affiliate koch industries famous conservative political candidate decide support government ban critical race theory ...,1
1598,Russia - moderate,110,3,"As Virginia governor’s race tightens, McAuliffe and Youngkin report big fundraising numbers",OpenSecrets.org,moderate,"As the Virginia gubernatorial race between former Gov. Terry McAuliffe (D) and businessman Glenn Youngkin (R) tightens, Youngkin raised...",19,virginia gubernatorial race gov. terry mcauliffe d businessman glenn youngkin r tighten youngkin raise ...,1
1599,Russia- Lean Left,110,1,Trump raised millions but spent none of it on audits and GOP candidates,Politico, Lean Left,"Six months since leaving office, former President Donald Trump is sitting on a $102 million war chest.

But having whipped his supporters into a frenzy with...",26,month leave office president donald trump sit 102 million war chest having whip supporter frenzy ...,1
1600,Russia- Lean Right,110,4,Biden turns on the Democratic Party fundraising machine for 2022,Washington Examiner, Lean Right,President Joe Biden's dive into the pool of high-dollar fundraisers this summer comes with an appeal to party unity and the promise of nailing big-ticket...,25,president joe biden dive pool high dollar fundraiser summer come appeal party unity promise nail big ticket ...,0
1601,Russia - moderate,110,3,"""Perfect storm"" blocks Trump-era FEC probes",Axios,moderate,"A ""perfect storm"" of procedural blockades prevented the investigation and sanctioning of alleged Trump campaign election law violations, regulators said this...",21,perfect storm procedural blockade prevent investigation sanctioning alleged trump campaign election law violation regulator ...,1
1602,Russia- Lean Left,110,1,Critical race theory battle invades school boards — with help from conservative groups,NBC News (Online), Lean Left,"A booby-trapped billboard. A list of demands. A conservative media frenzy.

Jeff Porter, superintendent of a wealthy suburban school district in Maine, had...",23,booby trap billboard list demand conservative medium frenzy jeff porter superintendent wealthy suburban school district maine ...,1
1603,Russia- Lean Right,110,4,Arizona judge presses for disclosure of donors funding Maricopa election audit,Washington Examiner, Lean Right,An Arizona judge on Wednesday questioned the claim that the public does not have the right to know who is funding the audit of the Maricopa County...,27,arizona judge wednesday question claim public right know fund audit maricopa county ...,1
1604,Russia - moderate,110,3,Kochworld comes to Biden's defense on Afghanistan,Axios,moderate,"President Biden is getting some unlikely backing for his Afghanistan troop withdrawal from a longtime nemesis: the Koch political network.

Driving the news...",23,president biden unlikely backing afghanistan troop withdrawal longtime nemesis koch political network drive news ...,0
1605,Russia- Left,110,2,FBI Investigating Postmaster General Louis DeJoy Over Political Fundraising,HuffPost, Left,"The FBI is investigating controversial Postmaster General Louis DeJoy over campaign contributions connected to his former business, his spokesperson confirmed...",20,fbi investigate controversial postmaster general louis dejoy campaign contribution connect business spokesperson confirm ...,1
1606,Science- Lean Right,111,4,White House to go on offense against GOP on debt ceiling and Trump-era deficits,Washington Examiner, Lean Right,The White House is ending its hands-off approach to the ongoing debt ceiling standoff between Democratic and Republican leadership on Capitol Hill and is...,24,white house end hand approach ongoing debt ceiling standoff democratic republican leadership capitol hill ...,1
1607,Science - moderate,111,3,"Top 1% dodge $163 billion in annual taxes, Treasury estimates",CNBC,moderate,"The top 1% of Americans may be dodging as much as $163 billion in annual taxes, according to a report from the U.S. Department of the Treasury....",27,1 americans dodge 163 billion annual taxis accord report u.s. department treasury ....,1
1608,Science- Lean Left,111,1,"Janet Yellen warns of a possible October default of U.S. debt, swollen by the pandemic.",New York Times (News), Lean Left,"The United States could default on its debt sometime in October if Congress does not take action to raise or suspend the debt limit, Treasury Secretary Janet L...",28,united states default debt october congress action raise suspend debt limit treasury secretary janet l ...,1
1609,Science- Right,111,5,Yellen: US Will Be Out Of Money In October If Congress Doesn’t Raise Debt Ceiling,The Daily Caller, Right,Treasury Secretary Janet Yellen warned congressional leaders Wednesday that the U.S. is on track to default on its debt sometime in October if Congress fails...,25,treasury secretary janet yellen warn congressional leader wednesday u.s. track default debt october congress fail ...,1
1610,Science - moderate,111,3,"Yellen urges Congress to raise debt limit, warns Pelosi about extraordinary measures running out soon",CNBC,moderate,Treasury Secretary Janet Yellen on Wednesday warned House Speaker Nancy Pelosi that the mere specter of a U.S. default can have drastic consequences for U.S....,25,treasury secretary janet yellen wednesday warn house speaker nancy pelosi mere specter u.s. default drastic consequence u.s ....,1
1611,Science- Lean Left,111,1,Yellen Aims to Win Support for Global Tax Deal,New York Times (News), Lean Left,The Biden administration is trying to persuade other nations to approve a global minimum tax as it works to curb profit shifting and raise corporate taxes in...,27,biden administration try persuade nation approve global minimum tax work curb profit shifting raise corporate taxis ...,1
1612,Science- Lean Right,111,4,Treasury Secretary Yellen urges Congress to raise debt limit on ‘bipartisan basis’,Washington Times, Lean Right,"Treasury Secretary Janet Yellen on Monday called on Congress to raise the debt ceiling in a bipartisan manner, rather than through the...",22,treasury secretary janet yellen monday congress raise debt ceiling bipartisan manner ...,1
1613,Science - moderate,111,3,Yellen Urges Congress to Raise or Suspend Debt Ceiling,AllSides Headline Roundup,moderate,"Treasury Secretary Janet Yellen urged House Speaker Nancy Pelosi to raise or suspend the debt ceiling as soon as possible on Wednesday, warning that inaction...",25,treasury secretary janet yellen urge house speaker nancy pelosi raise suspend debt ceiling soon possible wednesday warn inaction ...,1
1614,Science- Lean Left,111,1,88% of children covered by monthly payments starting in July,Associated Press Politics & Fact Check, Lean Left,"The Treasury Department said Monday that 39 million families are set to receive monthly child payments beginning on July 15.

The payments are part of...",25,treasury department monday 39 million family set receive monthly child payment begin july 15 payment ...,1
1615,Science- Lean Right,111,4,Treasury: Only 6.5 Percent of $46B Rental Relief Has Been Used,Newsmax (News), Lean Right,"With just two weeks remaining in the federal COVID-19 evictions ban, just 6.5% (roughly $3 billion) of the $46 billion available for Americans to cover rent,...",26,week remain federal covid-19 eviction ban 6.5 roughly 3 billion 46 billion available americans cover rent ...,1
1616,Science - moderate,111,3,Biden could start reshaping the Fed next month — and progressives will want a say,CNBC,moderate,"We will soon find out what the Federal Reserve’s leadership will look like under President Joe Biden.

The president is set to make a decision this fall...",27,soon find federal reserve leadership look like president joe biden president set decision fall ...,0
1617,Science- Lean Left,111,1,Biden’s biggest remaining personnel decision meets heat from the left,Politico, Lean Left,The Biden administration’s top economic aides like him. Lawmakers on both sides of the aisle respect him. And investors lapping up the rewards of loose money...,26,biden administration economic aide like lawmaker aisle respect investor lap reward loose money ...,1
1618,Science- Right,111,5,Buttigieg on Infrastructure Talks: 'We're Getting Pretty Close to a Fish-or-Cut-Bait Moment',CNSNews.com, Right,"Negotiations on an infrastructure package are making progress, but ""the negotiations can't go on forever,"" Transportation Secretary Pete Buttigieg told CNN's ""...",22,negotiation infrastructure package progress negotiation forever transportation secretary pete buttigieg tell cnn ...,1
1619,Science - moderate,111,3,Treasury Dept to invoke ‘extraordinary measures’ as Congress misses debt-ceiling deadline,CNBC,moderate,The Treasury Department will begin conducting emergency cash-conservation steps on Monday to avoid busting the federal borrowing limit after a two-year...,21,treasury department begin conduct emergency cash conservation step monday avoid bust federal borrowing limit year ...,1
1620,Science- Lean Left,111,1,Yellen taps top Fed aide to serve as acting bank cop,Politico, Lean Left,"Treasury Secretary Janet Yellen has tapped Federal Reserve official Michael Hsu to serve temporarily as one of the nation’s top bank cops, according to two...",25,treasury secretary janet yellen tap federal reserve official michael hsu serve temporarily nation bank cop accord ...,1
1621,Sexual Misconduct- Lean Right,112,4,A record 4.4M Americans quit jobs as 'Great Resignation' gathers momentum,Fox Business, Lean Right,"The number of U.S. workers quitting their jobs surged to a record in September as openings remained near an all-time high. 

The...",22,number u.s. worker quit job surge record september opening remain near time high ...,1
1622,Sexual Misconduct - moderate,112,3,Consumer sentiment hits 10-year low while workers quit jobs in record numbers,CNBC,moderate,"Consumer confidence hit a 10-year low in November as inflation climbed to the highest levels since the early 1990s, complicating efforts from policymakers to...",24,consumer confidence hit 10 year low november inflation climb high level early 1990 complicate effort policymaker ...,1
